,Property_type,Areas,Price in Lakhs,Bathrooms,Face,Square Feet,Status,Bedrooms
687,Residential Plot,Gosala,20.47,0,NorthWest,"7,336 / sq ft",New,0
688,Residential Plot,Gosala,16.33,0,West,"1,277 / sq ft",New,0
689,Residential Plot,Gosala,21.36,0,East,"1,333 / sq ft",New,0
690,Residential Plot,Gosala,17.04,0,East,"1,333 / sq ft",New,0
691,Residential Plot,Gosala,21.36,0,Unknown,"1,333 / sq ft",New,0
692,Residential Plot,Gosala,19.56,0,East,"1,341 / sq ft",New,0
693,Residential Plot,Gosala,21.36,0,Unknown,"1,333 / sq ft",New,0
694,Residential Plot,Gosala,15.98,0,West,"1,277 / sq ft",New,0
695,Residential Plot,Gosala,16.1,0,West,"1,277 / sq ft",New,0
696,Residential Plot,Gosala,170.0,0,East,"13,333 / sq ft",New,0
697,Residential Plot,Gosala,20.04,0,Unknown,"1,333 / sq ft",New,0
698,Residential Plot,Gosala,19.44,0,Unknown,"1,333 / sq ft",New,0
699,Residential Plot,Edupugallu,23.64,0,East,"1,333 / sq ft",New,0
700,Residential Plot,Edupugallu,27.96,0,West,"1,333 / sq ft",New,0
701,Residential Plot,Edupugallu,28.56,0,West,"1,333 / sq ft",New,0
702,Residential Plot,Edupugallu,28.92,0,West,"1,333 / sq ft",New,0
703,Residential Plot,Edupugallu,51.8,0,East,"2,055 / sq ft",New,0
704,Residential Plot,Edupugallu,50.4,0,East,"2,000 / sq ft",New,0
705,Residential Plot,Edupugallu,49.95,0,East,"2,055 / sq ft",New,0
706,Residential Plot,Edupugallu,40.14,0,East,"2,055 / sq ft",New,0
707,Residential Plot,Edupugallu,60.48,0,Unknown,"2,000 / sq ft",New,0
708,Residential Plot,Edupugallu,37.18,0,East,"2,055 / sq ft",New,0
709,Residential Plot,Edupugallu,17.82,0,West,"2,000 / sq ft",New,0
710,Residential Plot,Edupugallu,44.03,0,Unknown,"2,055 / sq ft",New,0
711,Residential Plot,Edupugallu,83.8,0,East,"2,055 / sq ft",New,0
712,Residential Plot,Edupugallu,40.14,0,East,"2,055 / sq ft",New,0
713,Residential Plot,Edupugallu,82.14,0,East,"2,055 / sq ft",New,0
714,Residential Plot,Edupugallu,42.92,0,East,"2,055 / sq ft",New,0
715,Residential Plot,Edupugallu,31.32,0,West,"2,000 / sq ft",New,0
716,Residential Plot,Edupugallu,56.79,0,East,"2,055 / sq ft",New,0
717,Residential Plot,Edupugallu,30.96,0,West,"2,000 / sq ft",New,0
718,Residential Plot,Edupugallu,51.8,0,East,"2,055 / sq ft",New,0
719,Residential Plot,Edupugallu,29.34,0,Unknown,"2,000 / sq ft",New,0
720,Residential Plot,Edupugallu,50.4,0,West,"2,000 / sq ft",New,0
721,Residential Plot,Edupugallu,41.76,0,West,"2,000 / sq ft",New,0
722,Residential Plot,Edupugallu,38.48,0,East,"2,055 / sq ft",New,0
723,Residential Plot,Edupugallu,29.16,0,Unknown,"1,333 / sq ft",New,0
724,Residential Plot,Edupugallu,33.85,0,East,"2,055 / sq ft",New,0
725,Residential Plot,Edupugallu,29.76,0,West,"1,333 / sq ft",New,0
726,Residential Plot,Edupugallu,30.15,0,East,"2,055 / sq ft",New,0
727,Residential Plot,Edupugallu,32.0,0,East,"2,055 / sq ft",New,0
728,Residential Plot,Edupugallu,32.93,0,East,"2,055 / sq ft",New,0
729,Residential Plot,Edupugallu,30.71,0,East,"2,055 / sq ft",New,0
730,Residential Plot,Edupugallu,305.0,0,Unknown,"12,777 / sq ft",New,0
731,Residential Plot,Edupugallu,31.08,0,East,"2,055 / sq ft",New,0
